0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
"Andhra
Pradesh",Anantapur,Kamala Nagar,110,,,4,,,8,,,5,,
,Chitoor,GNC Toll Gate Tirumala,102,,,3,,,9,,,5,,
,,"Near M/s.Nutrine Confectionery, Palamaner
Road",106,,,4,,,7,,,5,,
,Eluru,At Ashram Diagnostic Centre,112,,,4,,,13,,,5,,
,Guntur,"Near Hindu College, Market Road",113,,,5,,,6,,,5,,
,Kadapa,"Near ICL, Yerraguntla, YSR",110,,,4,,,7,,,5,,
,Kakinada,Office Building Ramanayyapeta,105,,,6,,,18,,,8,,
,Kurnool,"Mourya Inn, Krishna Nagar",111,,,4,,,8,,,5,,
,Nellore,"Venkatareddy nagar, Vedayapalem",112,,,4,,,6,,,5,,
,Prakasam,"Near Court Center, Ongole",110,,,5,,,6,,,5,,
,Rajahmundry,Staff Clud Building,103,,,6,,,13,,,8,,
,Srikakulam,"SAMKRG Pistons Quarters Bulding,Near
IDA,Pydibhimavaram",111,,,6,,,13,,,9,,
,Tirupati,"Regional Science Centre, Chittoor Bypass",104,,,3,,,6,,,5,,
,Vijaywada,Benz Circle,110,,,5,,,46,,,6,,
,,Autonagar,111,,,5,,,6,,,6,,
,,Police Control Room,110,,,5,,,6,,,5,,
,"Vishakhapatn
am","Industrial Estate, Marripalem",106,,,5,,,25,,,8,,
,,"Panchayat Raj office, Mindi",109,,,4,,,28,,,8,,
,,Police Barracks,111,,,5,,,50,,,10,,
,,"INS-Virabahu, Naval Area",109,,,5,,,36,,,8,,
,,Seethammadhara,109,,,5,,,40,,,8,,
,,Ganapuram Area,109,,,6,,,60,,,10,,
,,"Pedagantyada, Gajuwada",112,,,5,,,26,,,8,,
,,"CWMP, RAMKY, Parawada",110,,,5,,,32,,,8,,
,Vizianagaram,"APIIC Building at IDA Bobbili Growth
Center,Vizianagaram",107,,,6,,,18,,,9,,
,Itnagar,PPC's Office compound itanagar,41,,,2,,,6,,,3,,
,Naharlagun,APSPCB Office compound,45,,,2,,,17,,,4,,
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",90,,,3,,,24,,,5,,
,,Barpara Office Building,89,,,3,,,19,,,4,,
,Daranga,"BATAD, Baska",84,,,3,,,10,,,6,,
,Dibrugarh,Dibrugarh Office Building,92,,,5,,,12,,,7,,
,Golaghat,Golaghat Office Building,90,,,4,,,8,,,6,,
,Guwahati,"Head Office, Bamunimaidam",139,,,4,,,13,,,7,,
,,"Boragaon, IASST, Kamrup",128,,,4,,,12,,,7,,
,,"Guwahati University, Kamrup",128,,,4,,,20,,,7,,
,,"ITI Building, Gopinath Nagar",137,,,5,,,12,,,7,,
,,"Khanapara, Central Dairy, Kamrup",142,,,4,,,12,,,7,,
,,"Near Pragjyotish College, Santipur",137,,,4,,,13,,,7,,
,Lakhimpur,"Bazar Patti, North Lakhimpur Town",92,,,4,,,12,,,7,,
,Margherita,Coal India Office,80,,,4,,,11,,,7,,
,Nagaon,"Water Resources Div., Christian Patty",82,,,5,,,13,,,7,,
,Nalbari,PWD Rural Div Office Complex,94,,,4,,,10,,,6,,
,Sibsagar,Sibasagar Office Building,96,,,4,,,10,,,7,,
,,"Usha Lodge, near ONGCL Colony",97,,,6,,,13,,,8,,
,Silchar,Janiganj Govt. Boys HS School campus,84,,,5,,,8,,,6,,
,,"RLO, Ithkola Market, Ghaniwala Road",84,,,5,,,9,,,6,,
,Tezpur,Tezpur Office Building,100,,,4,,,12,,,8,,
,Tinsukia,"Digboi Carbon factory Campus, Borguri",93,,,5,,,11,,,7,,
,,"Shreepuria, Borguri",91,,,2,,,13,,,8,,
,,Shivdham,91,,,4,,,11,,,7,,
Bihar,Begusarai,Begusarai,96,,,8,,,13,,,10,,
,Bodhgaya,"Godam Road, Raja Market",95,,,6,,,16,,,11,,
,Darbhanga,"Ashok Hotel,Kadirabad chowk",104,,,8,,,16,,,11,,
,Muzaffarpur,"BSPCB Regional Office, Bela Industrial Area",103,,,7,,,15,,,11,,
,Patna,"Beltron Bhawan, Shastri Nagar",75,,,2,,,5,,,4,,
,,"Gandhi Maidan, Auto Exhaust Test Centre",76,,,4,,,14,,,5,,
,Rajgir,"Sujkund, Near Samuraji hotel",103,,,7,,,15,,,11,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,Sasaram,"Takia,Ward no.2, Rhotas",113,,,7,,,28,,,11,,
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",144,,,2,,,2,,,2,,
,,Sector-17 C,144,,,2,,,2,,,2,,
