0,1,2,3,4,5,6,7,8,9,10,11
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
"Andhra
Pradesh",Anantapur,Kamala Nagar,98,4,,,11,,,5,
,,"APIIC, Zonal office, Industrial Estate",98,4,,,9,,,4,
,,"Cancer Unit. G.G.Hsharada Nagar, JNTU Road",100,4,,,6,,,4,
,,"D.No.6/5/545, Ram Nagar Colony",99,4,,,13,,,4,
,Chitoor,GNC Toll Gate Tirumala,100,2,,,22,,,7,
,,"Near Nutrine Confectionery, Palamaner Road",104,4,,,12,,,5,
,,"Mining Office, Greamspet",39,4,,,6,,,5,
,,Sankar Foundary,43,4,,,7,,,5,
,Eluru,Ashram Diagnostic Centre,107,4,,,6,,,5,
,,District Headquarters hospital,107,5,,,6,,,5,
,,"M/s Laxmi Propylene Ltd., Plot.No. 25, Industrial
Park, Satrampadu",44,5,,,6,,,5,
,,"Somalingeswara nilayam D.N.7B-18-5, Thooru
Veedhi, Eastern street, Paidichintaadu",16,5,,,6,,,5,
,Guntur,"Near Hindu College, Market Road",101,4,,,7,,,5,
,,"A.P. Pollution Control Board, D.No.4-5-4/5C,4/3,
Navabharath nagar, Ring Road",102,4,,,14,,,5,
,,"Distirct Industries Center office Buiding
Autonagar",27,5,,,7,,,5,
,,Government General hospital,27,5,,,7,,,5,
,Kadapa,"Near ICL Industries, Yerragunta, YSR",106,4,,,8,,,5,
,,"Devi Diabetes & Hormone Centre, 7 Roads",97,4,,,12,,,5,
,,"DIC Office,Kadapa",108,4,,,7,,,5,
,,RIMS,43,5,,,7,,,5,
,,Municipal Primary School,23,4,,,6,,,5,
,Kakinada,Office Building Ramanayyapeta,98,6,,,15,,,9,
,,"Gram Panchayathi building, Surya rao peta",105,6,,,14,,,10,
,,"MEE/MEPMA building, Salipeta",104,6,,,16,,,10,
,,Petrochemical Eng. Of JNTU Campus,27,6,,,12,,,9,
,Kurnool,"Mourya Inn, Krishna Nagar",105,4,,,9,,,4,
,,"APIIC Building Industrial estate, Kallur at IDA
Bobbili Growth Center",78,4,,,9,,,5,
,,Rajvihar Circle,103,4,,,10,,,5,
,,"Pump House, Venkataramana Colony",104,4,,,8,,,4,
,Nellore,"Venkatareddy Nagar, Vedayapalem",106,5,,,6,,,5,
,,"D. No.15-471, James Garden, Venkata
Ramapuram, Nellore, SPSR Nellore District",106,4,,,6,,,5,
,,Chandramouli nagar,34,5,,,6,,,5,
,,"Dr.P.V. Rama chandra Reddy Hospital,
Brindavnam",34,5,,,6,,,5,
,Ongole,Near Court Center,106,5,,,6,,,5,
,,"APIIC , Administrative Office, IGS",34,5,,,6,,,5,
,,Ongole Municipal Corporation,34,5,,,7,,,5,
,,Prakasam Milk Produce Compay,34,4,,,8,,,5,
,"Rajahmundry/
Rajamahendra
varam","Staff Clud Building, A.P. Paper Mill",105,5,,,13,,,9,
,,"GAIL Administrative Office, A.V. Apparao Road",26,7,,,12,,,9,
,,"MCH Block ,District Hospital, Near Central
Prison, Lalacheruvu Road",9,7,,,10,,,9,
,Srikakulam,"SAMKRG Pistons Quarters Bulding, Near IDA,
Pydibhimavaram",97,7,,,16,,,10,
,,District cooparative office at SKLM Old Bridge,104,6,,,14,,,10,
,,Kushalapuram,17,6,,,12,,,9,
,,"Muncipal corporation Office, Old Bustand",105,5,,,15,,,9,
,Tirupati,"Regional Science Centre, Chittoor Bypass",106,4,,,7,,,5,
,,Municipal Office,105,4,,,6,,,5,
,,APPCB-Regional Office,41,4,,,5,,,5,
,,S.V. Guest house,25,4,,,6,,,5,
,Vijaywada,"NTR Veterinary college of sciences, Gannavaram",9,5,,,5,,,5,
,,"VR Siddhartha Engineering college , Kanuru",9,4,,,5,,,5,
,,"APIIC,IALA, IDA, Kondaplli",9,5,,,5,,,5,
,,Benz Circle,103,4,,,6,,,5,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,,Autonagar,103,4,,,6,,,5,
,,Police Control Room,103,5,,,6,,,5,
,,"A.P. Pollution Control Board, plot no. 41, Sri
Kanakadurga Officers colony, Gurunank Road",103,4,,,6,,,5,
,,"Gram Panchayat Office, Yenamalakuduru",103,4,,,7,,,5,
,,"Indian Medical Association Hall,Eluru Road,
Governorpet",103,5,,,7,,,5,
,"Vishakhapatna
m","Industrial Estate, Marripalem",103,6,,,19,,,9,
,,"Panchayat Raj office, Mindi",103,5,,,25,,,9,
,,Police Barracks,108,7,,,20,,,12,
,,"INS-Virabahu, Naval Area",104,6,,,15,,,8,
,,Seethammadhara,103,6,,,24,,,9,
,,Ganapuram Area,107,7,,,29,,,12,
,,"Pedagantyada (V), Gajuwada (M)",102,6,,,22,,,9,
,,"CWMP, RAMKY, Parawada",105,6,,,23,,,9,
,,MVP Raitu Bajar,35,7,,,19,,,10,
,Vizianagaram,APIIC Building at IDA Bobbili Growth Center,96,6,,,16,,,10,
,,"APIIC Building, VT Agraharam,Industrial area",107,6,,,17,,,10,
,,Muncipal Kaspa High School,105,6,,,13,,,9,
"Arunachal
Pradesh",Itnagar,PCCF's Office Compound,38,2,,,13,,,3,
,Naharlagun,APSPCB Office compound,41,2,,,9,,,3,
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",86,3,,,29,,,5,
,,Barpara Office Building,89,3,,,26,,,5,
,Daranga,"BATAD, Sandoop Jhankar town of Bhutan, Baska",98,4,,,12,,,7,
,Dibrugarh,Dibrugarh Office Building,101,3,,,10,,,6,
,Golaghat,Golaghat Office Building,100,3,,,9,,,6,
,Guwahati,"Head Office, Bamunimaidam",146,4,,,23,,,8,
,,"Boragaon, IASST, Kamrup",110,4,,,16,,,7,
