0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,SO2 Concentration in µg/m3,,,,,,,
,,,,,,,,,,No. of,,,,,,,,,,
,,,,City/ Town/,,,,,,,,,Minimum,,,Maximum,,,,
,State / UT,,,,,,Location,,,monitoring,,,,,,,,,Annual,
,,,,Village,,,,,,,,,(24-hourly,,,(24-hourly,,,,
,,,,,,,,,,days,,,,,,,,,Average,
,,,,,,,,,,,,,average),,,average),,,,
,,,,,,,,,,,,,,,,,,,,
"Andhra
Pradesh",,,Anantapur,,,Kamala Nagar,,,105,,,4,,,15,,,6,,
,,,,,,APIIC Zonl office industrial estate,,,106,,,4,,,10,,,5,,
,,,,,,"Cancer Unit. G.G.Hsharada Nagar, JNTU
Road",,,108,,,4,,,9,,,5,,
,,,,,,"D.No.6/5/545, Ram Nagar Colony",,,108,,,4,,,12,,,5,,
,,,Chitoor,,,GNC Toll Gate Tirumala,,,107,,,2,,,19,,,5,,
,,,,,,"Near Nutrine Confectionery, Palamaner
Road",,,107,,,4,,,9,,,5,,
,,,,,,"O/O Mines and Geology, Old Collector
Office, Greamspet",,,104,,,4,,,6,,,5,,
,,,,,,"Sankar Foundary, Industrial Estate, Adjacent
of DIC Office",,,106,,,4,,,7,,,5,,
,,,,,,"Rangachari street, Shanthapeta.",,,92,,,4,,,6,,,5,,
,,,Eluru,,,Ashram Diagnostic Centre,,,108,,,4,,,6,,,5,,
,,,,,,District Headquarters hospital,,,108,,,4,,,6,,,5,,
,,,,,,"M/s Laxmi Propylene Ltd., Plot.No. 25,
Industrial Park, Satrampadu",,,108,,,4,,,6,,,5,,
,,,,,,"Somalingeswara nilayam D.N.7B-18-5,
Thooru Veedhi, Eastern street,
Paidichintaadu",,,108,,,4,,,6,,,5,,
,,,Guntur,,,"Near Hindu College, Market Road",,,100,,,4,,,5,,,5,,
,,,,,,"A.P. Pollution Control Board, D.No.4-5-
4/5C,4/3, Navabharath nagar, Ring Road",,,101,,,4,,,6,,,5,,
,,,,,,"Distirct Industries Center office Buiding
Autonagar",,,100,,,4,,,5,,,5,,
,,,,,,Government General hospital,,,101,,,4,,,6,,,5,,
,,,Kadapa,,,"Near ICL Industries, Yerragunta, YSR",,,108,,,4,,,19,,,6,,
,,,,,,"Devi Diabetes & Hormone Centre, 7 Roads",,,106,,,4,,,18,,,5,,
,,,,,,"DIC Office,Kadapa",,,108,,,4,,,19,,,5,,
,,,,,,Rajiv Gandhi Institute of Medical Sciences,,,108,,,4,,,7,,,5,,
,,,,,,Municipal Primary School,,,107,,,4,,,14,,,5,,
,,,Kakinada,,,Office Building Ramanayyapeta,,,102,,,4,,,13,,,8,,
,,,,,,"Gram Panchayathi building, Suryaraopeta",,,105,,,4,,,13,,,8,,
,,,,,,"MEE Seva / MEPMA Office, Sailipeta",,,105,,,4,,,13,,,9,,
,,,,,,"Petro Chemical Engineering Block, JNTU ,
Pithapuram Road",,,106,,,4,,,12,,,8,,
,,,Kurnool,,,"Mourya Inn, Krishna Nagar",,,108,,,4,,,11,,,5,,
,,,,,,"APIIC Building Industrial estate, Kallur at IDA
Bobbili Growth Center",,,107,,,4,,,13,,,5,,
,,,,,,Rajvihar Circle,,,108,,,4,,,14,,,6,,
,,,,,,"Pump House, Venkataramana Colony",,,108,,,4,,,12,,,5,,
,,,Nellore,,,"Venkatareddy Nagar, Vedayapalem",,,107,,,4,,,6,,,5,,
,,,,,,"D. No.15-471, James Garden, Venkata
Ramapuram, Nellore, SPSR Nellore District",,,107,,,4,,,6,,,5,,
,,,,,,Chandramouli nagar,,,107,,,4,,,6,,,5,,
,,,,,,"Dr.P.V. Rama chandra Reddy Hospital,
Brindavnam",,,107,,,4,,,5,,,5,,
,,,Ongole,,,Near Court Center,,,107,,,4,,,6,,,5,,
,,,,,,"APIIC, Administrative Office, Growth Centre,
Gundlapalli",,,104,,,4,,,5,,,5,,
,,,,,,Ongole Municipal Corporation,,,106,,,4,,,6,,,5,,
,,,,,,Prakasam Milk Product Compay,,,105,,,4,,,6,,,5,,
,,,"Rajahmundry/
Rajamahendrava
ram",,,"Staff Clud Building, A.P. Paper Mill",,,98,,,5,,,14,,,9,,
,,,,,,"GAIL Administrative Office, A.V. Apparao
Road",,,104,,,5,,,15,,,8,,
,,,,,,"MCH Block ,District Hospital, Near Central
Prison, Lalacheruvu Road",,,105,,,4,,,12,,,8,,
,,,,,,"APEPDCL, Circle Office Godavari Gattu",,,97,,,4,,,16,,,8,,
,,,Srikakulam,,,"SAMKRG Pistons Quarters Bulding, Near
IDA, Pydibhimavaram",,,96,,,6,,,12,,,8,,
,,,,,,District cooparative office at SKLM Old,,,106,,,5,,,11,,,8,,
,,,,,,,,,,,,,SO2 Concentration in µg/m3,,,,,,,
,,,,,,,,,,No. of,,,,,,,,,,
,,,,City/ Town/,,,,,,,,,Minimum,,,Maximum,,,,
,State / UT,,,,,,Location,,,monitoring,,,,,,,,,Annual,
,,,,Village,,,,,,,,,(24-hourly,,,(24-hourly,,,,
,,,,,,,,,,days,,,,,,,,,Average,
,,,,,,,,,,,,,average),,,average),,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Bridge,,,,,,,,,,,,,,
,,,,,,"APIIC, Kushalapuram",,,95,,,5,,,15,,,8,,
,,,,,,"Muncipal corporation Office, Old Bustand",,,107,,,5,,,12,,,8,,
,,,Tirupati,,,"Regional Science Centre, Chittoor Bypass",,,106,,,4,,,6,,,5,,
,,,,,,"Municipal Office, Tilak Road",,,107,,,4,,,8,,,5,,
,,,,,,"APPCB-Regional Office, 1st Floor, APSFC
Building, NT road",,,100,,,4,,,6,,,5,,
,,,,,,"Sri Venkateswara Guest House (TTD SV Rest
House), Near APSRTC Bus Stand",,,108,,,4,,,8,,,5,,
,,,Vijaywada,,,"NTR Veterinary college of sciences,
Gannavaram",,,107,,,4,,,11,,,5,,
,,,,,,"VR Siddhartha Engineering college , Kanuru",,,107,,,4,,,6,,,5,,
,,,,,,"APIIC, IALA, IDA, Kondaplli",,,106,,,4,,,6,,,5,,
,,,,,,Benz Circle,,,107,,,4,,,7,,,5,,
,,,,,,Autonagar,,,108,,,4,,,7,,,5,,
,,,,,,Police Control Room,,,89,,,5,,,6,,,5,,
,,,,,,"A.P. Pollution Control Board, plot no. 41, Sri
Kanakadurga Officers colony, Gurunank
Road",,,108,,,4,,,7,,,5,,
,,,,,,"Gram Panchayat Office, Yenamalakuduru",,,108,,,4,,,6,,,5,,
,,,,,,"Indian Medical Association Hall,Eluru Road,
Governorpet",,,107,,,4,,,6,,,5,,
,,,Vishakhapatnam,,,"Industrial Estate, Marripalem",,,108,,,5,,,13,,,9,,
,,,,,,"Panchayat Raj office, Mindi",,,105,,,5,,,11,,,8,,
,,,,,,Police Barracks,,,105,,,6,,,14,,,9,,
,,,,,,"INS-Virabahu, Naval Area",,,93,,,5,,,10,,,7,,
,,,,,,Seethammadhara,,,99,,,5,,,13,,,8,,
,,,,,,Ganapuram Area,,,107,,,6,,,13,,,9,,
,,,,,,"Pedagantyada (V), Gajuwada (M)",,,104,,,5,,,11,,,8,,
,,,,,,"CWMP, RAMKY, Parawada",,,106,,,5,,,14,,,9,,
,,,,,,MVP Raitu Bajar,,,102,,,5,,,15,,,7,,
,,,Vizianagaram,,,"Industrial Growth Centre, APIIC Building at
IDA Bobbili",,,101,,,5,,,12,,,8,,
,,,,,,"APIIC Building, VT Agraharam,Industrial area",,,105,,,5,,,14,,,8,,
,,,,,,Muncipal Kaspa High School,,,102,,,6,,,12,,,8,,
,,,,,,Municipal Office,,,93,,,5,,,13,,,8,,
"Arunachal
Pradesh",,,Itnagar,,,PCCF's Office Compound,,,43,,,2,,,10,,,3,,
,,,Naharlagun,,,APSPCB Office compound,,,34,,,2,,,6,,,3,,
Assam,,,Bongaigaon,,,"Oil India Ltd. PS-6, Chirang",,,70,,,3,,,12,,,4,,
,,,,,,Barpara Office Building,,,86,,,3,,,11,,,4,,
,,,Daranga,,,"BATAD, Sandoop Jhankar town of Bhutan,
Baska",,,94,,,4,,,11,,,7,,
,,,Dibrugarh,,,Dibrugarh Office Building,,,89,,,4,,,9,,,5,,
,,,Golaghat,,,Golaghat Office Building,,,80,,,4,,,8,,,6,,
,,,Guwahati,,,"Head Office, Bamunimaidam",,,134,,,7,,,24,,,12,,
,,,,,,"Boragaon, IASST, Kamrup",,,114,,,5,,,12,,,7,,
,,,,,,"Guwahati University, Kamrup",,,117,,,5,,,11,,,7,,
,,,,,,"ITI Building, Gopinath Nagar",,,117,,,5,,,12,,,7,,
,,,,,,"Khanapara, Central Dairy, Kamrup",,,129,,,5,,,15,,,7,,
,,,,,,"Near Pragjyotish College, Santipur",,,133,,,5,,,11,,,7,,
,,,Margherita,,,Coal India Office,,,91,,,4,,,9,,,6,,
,,,Nagaon,,,"Water Resources Div., Christian Patty,
Nagaon College",,,97,,,5,,,10,,,7,,
,,,Nalbari,,,"PWD Rural Div Office Complex, near Gordon
Boy's GS School",,,77,,,4,,,10,,,7,,
,,,North Lakhimpur,,,"Bazar Patti, North Lakhimpur Town",,,86,,,5,,,10,,,7,,
,,,Silchar,,,"Govt. Boys HS School, Janiganj",,,74,,,5,,,8,,,6,,
,,,,,,"RLO, Ithkola Market, Ghaniwala Road",,,75,,,5,,,9,,,7,,
,,,Sivasagar,,,Sibasagar Office Building,,,102,,,4,,,8,,,6,,
,,,,,,"Usha Lodge, near ONGCL Colony",,,103,,,5,,,9,,,7,,
,,,Tezpur,,,Tezpur Office Building,,,86,,,6,,,10,,,7,,
,,,Tinsukia,,,"Digboi Carbon factory Campus, Borguri",,,94,,,4,,,8,,,6,,
,,,,,,"Shreepuria, Borguri",,,98,,,4,,,8,,,6,,
,,,,,,Shivdham,,,98,,,4,,,9,,,6,,
Bihar,,,Begusarai,,,Begusarai,,,104,,,9,,,19,,,12,,
,,,Darbhanga,,,"Smt Baby Kumari, Ashok Hotel,Kadirabad
Chowk",,,105,,,12,,,22,,,15,,
,,,,,,,,,,,,,SO2 Concentration in µg/m3,,,,,,,
,,,,,,,,,,No. of,,,,,,,,,,
,,,,City/ Town/,,,,,,,,,Minimum,,,Maximum,,,,
,State / UT,,,,,,Location,,,monitoring,,,,,,,,,Annual,
,,,,Village,,,,,,,,,(24-hourly,,,(24-hourly,,,,
,,,,,,,,,,days,,,,,,,,,Average,
,,,,,,,,,,,,,average),,,average),,,,
,,,,,,,,,,,,,,,,,,,,
,,,Gaya,,,"Godam Road, Raja Market",,,104,,,6,,,15,,,11,,
,,,Muzaffarpur,,,"BSPCB Regional Office, Bela Industrial Area,
Bela",,,104,,,10,,,22,,,14,,
,,,Patna,,,"Beltron Bhawan, Shastri Nagar",,,59,,,2,,,7,,,2,,
,,,,,,"Gandhi Maidan, Auto Exhaust Test Centre",,,75,,,2,,,14,,,4,,
,,,Rajgir,,,"Sujkund, Near Samuraji hotel",,,104,,,5,,,15,,,10,,
,,,Sasaram,,,"Takia,Ward no.2, Rhotas",,,105,,,6,,,13,,,10,,
Chandigarh,,,Chandigarh,,,"Modern Foods, Industrial Area",,,149,,,2,,,2,,,2,,
,,,,,,Sector-17 C,,,142,,,2,,,2,,,2,,
,,,,,,"Punjab Engineering College, Sector- 12",,,163,,,2,,,2,,,2,,
,,,,,,"Sector-39, IMTECH",,,155,,,2,,,2,,,2,,
,,,,,,Kaimbwala Village,,,140,,,2,,,2,,,2,,
Chattisgarh,,,Bilaspur,,,"Regional Office, CECB Vyapar Vihar",,,91,,,4,,,7,,,6,,
,,,Durg-Bhillainagar,,,"Visak Hostel, Sector-4",,,77,,,5,,,8,,,7,,
,,,,,,"R.O., 5/32 Banglow Office Building",,,83,,,3,,,8,,,4,,
,,,,,,M.P. Laghu Udyog Nigam,,,84,,,7,,,11,,,9,,
,,,,,,"CSIDC Industrial Growth Center, Borai, Durg",,,81,,,7,,,10,,,8,,
,,,Korba,,,"HIG 21,22.Near Ghantaghar, MP Extension",,,97,,,6,,,11,,,8,,
,,,,,,"Pragati Nagar NTPC Colony, Jamnipali",,,103,,,5,,,10,,,7,,
,,,,,,"I.T.I., Rampur",,,100,,,6,,,13,,,9,,
,,,Raipur,,,"New HIG-9, Hirapur/Housing Board Complex
Kabir Nagar",,,67,,,11,,,19,,,15,,
,,,,,,M/S Wool Worth India Pvt. Ltd. Sarora,,,40,,,13,,,25,,,17,,
"Dadra &
Nagar Haveli
and Daman &
Diu",,,"Baldevi (Dadra &
Nagar Haveli)",,,"Baldevi Village, Athola, Dandul Faliya,
Teh:Dadra & Nagar Haveli",,,97,,,8,,,25,,,16,,
,,,Silvassa,,,"Khadoli Industrial Area, Khadoli",,,99,,,10,,,41,,,26,,
,,,,,,"Chetan Guest House, Near Post Office,
Piperia, silvassa Char Rasta",,,100,,,11,,,41,,,25,,
,,,Daman,,,"Prima Plastic, Kadaiya Industrial Area,
Kadaiya",,,97,,,9,,,39,,,23,,
,,,,,,"Mashal Chawk, Nani Daman",,,99,,,8,,,37,,,21,,
,,,Patlara (Daman),,,"Makat Faliya/ Ambavadi, Patlara Village,
Moti Daman Teh:Daman",,,100,,,8,,,25,,,15,,
Delhi,,,Delhi,,,"N.Y. School, Sarojini Nagar, Delhi",,,88,,,2,,,9,,,3,,
,,,,,,Janakpuri,,,120,,,4,,,16,,,5,,
,,,,,,"Naraina Industrial Area, Delhi",,,88,,,2,,,23,,,4,,
