0,1,2,3,4,5,6,7,8,9,10
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
Andhra Pradesh,Anantapur,Kamala Nagar,5,,,13,,,6,
,,APIIC Zonl office industrial estate,4,,,12,,,6,
,,"D.No.6/5/545, Ram Nagar Colony",4,,,12,,,5,
,Chitoor,GNC Toll Gate Tirumala,2,,,10,,,5,
,,"Near Nutrine Confectionery, Palamaner Road",4,,,6,,,5,
,,"O/O Mines and Geology, Old Collector Office,
Greamspet",4,,,11,,,5,
,,"Sankar Foundary, Industrial Estate, Adjacent of
DIC Office",4,,,6,,,5,
,,"Rangachari street, Shanthapeta.",4,,,6,,,4,
,Eluru,Ashram Diagnostic Centre,4,,,6,,,5,
,,"M/s Laxmi Propylene Ltd., Plot.No. 25, Industrial
Park, Satrampadu",4,,,6,,,5,
,,"Somalingeswara nilayam D.N.7B-18-5, Thooru
Veedhi, Eastern street, Paidichintaadu",4,,,6,,,5,
,Guntur,"Near Hindu College, Market Road",4,,,6,,,5,
,Kadapa,"Near ICL Industries, Yerragunta, YSR",4,,,16,,,6,
,,"Devi Diabetes & Hormone Centre, 7 Roads",4,,,17,,,6,
,,"DIC Office,Kadapa",4,,,15,,,6,
,,Rajiv Gandhi Institute of Medical Sciences,4,,,15,,,5,
,,Municipal Primary School,4,,,15,,,5,
,Kakinada,Office Building Ramanayyapeta,4,,,13,,,7,
,,"Gram Panchayathi building, Suryaraopeta",5,,,13,,,8,
,,"MEE Seva / MEPMA Office, Sailipeta",5,,,12,,,7,
,,"Petro Chemical Engineering Block, JNTU ,
Pithapuram Road",4,,,11,,,7,
,Kurnool,"Mourya Inn, Krishna Nagar",4,,,19,,,5,
,,"APIIC Building Industrial estate, Kallur at IDA
Bobbili Growth Center",4,,,13,,,6,
,,Rajvihar Circle,5,,,16,,,6,
,,"Pump House, Venkataramana Colony",4,,,20,,,5,
,Nellore,"Venkatareddy Nagar, Vedayapalem",4,,,12,,,5,
,,"D. No.15-471, James Garden, Venkata
Ramapuram, Nellore, SPSR Nellore District",4,,,5,,,5,
,,Chandramouli nagar,4,,,5,,,5,
,,"Dr.P.V. Rama chandra Reddy Hospital,
Brindavnam",4,,,5,,,5,
,Ongole,Near Court Center,4,,,6,,,5,
,,"APIIC, Administrative Office, Growth Centre,
Gundlapalli",4,,,11,,,5,
,,Ongole Municipal Corporation,4,,,6,,,5,
,,Prakasam Milk Product Compay,4,,,6,,,5,
,"Rajahmundry/
Rajamahendravaram","Staff Clud Building, A.P. Paper Mill",5,,,14,,,9,
,,"GAIL Administrative Office, A.V. Apparao Road",5,,,11,,,8,
,,"APEPDCL, Circle Office Godavari Gattu",5,,,16,,,8,
,Srikakulam,"SAMKRG Pistons Quarters Bulding, Near IDA,
Pydibhimavaram",5,,,14,,,7,
,,District cooparative office at SKLM Old Bridge,5,,,12,,,7,
,,"APIIC, Kushalapuram",5,,,13,,,7,
,,"Muncipal corporation Office, Old Bustand",5,,,13,,,7,
,Tirupati,"Regional Science Centre, Chittoor Bypass",4,,,5,,,4,
,,"Municipal Office, Tilak Road",4,,,7,,,5,
,,"APPCB-Regional Office, 1st Floor, APSFC Building,
NT road",4,,,12,,,5,
,,"Sri Venkateswara Guest House (TTD SV Rest
House), Near APSRTC Bus Stand",4,,,6,,,5,
,Vijaywada,"NTR Veterinary college of sciences, Gannavaram",4,,,5,,,5,
,,"VR Siddhartha Engineering college , Kanuru",4,,,12,,,5,
,,"APIIC, IALA, IDA, Kondaplli",4,,,6,,,5,
,,Benz Circle,4,,,7,,,5,
,,Autonagar,4,,,6,,,5,
,,Police Control Room,4,,,12,,,5,
,,"A.P. Pollution Control Board, plot no. 41, Sri
Kanakadurga Officers colony, Gurunank Road",4,,,6,,,5,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,,"Gram Panchayat Office, Yenamalakuduru",4,,,13,,,5,
,,"Indian Medical Association Hall,Eluru Road,
Governorpet",4,,,6,,,5,
,Vishakhapatnam,"Industrial Estate, Marripalem",5,,,15,,,9,
,,"Panchayat Raj office, Mindi",5,,,14,,,8,
,,Police Barracks,5,,,18,,,9,
,,Seethammadhara,5,,,15,,,7,
